prod_name,reg_price,sale_price,sale_percent,new_badge,size,color,Link
Town Team - T-shirts - TSH,LE 799.00,LE 219.00,73%,New,"2XL
                                



                                4XL",Blue,https://townteam.com//products/5637673803?_pos=45&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 699.00,LE 129.00,82%,New,XS,White,https://townteam.com//products/5637673803?_pos=45&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 899.00,LE 199.00,78%,New,"M
                                



                                S",Blue,https://townteam.com//products/5637639072?_pos=46&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 799.00,LE 199.00,75%,New,"3XL
                                



                                M",Blue,https://townteam.com//products/5637639072?_pos=46&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 599.00,LE 149.00,75%,New,"S
                                



                                L
                                



                                XL
                                



                                2XL
                                



                        + -3",White,https://townteam.com//products/5637507124?_pos=47&_fid=65ca5736c&_ss=c
Town Team - Swim Shorts - SWM,LE 499.00,LE 179.00,64%,New,S,Blue,https://townteam.com//products/5637507124?_pos=47&_fid=65ca5736c&_ss=c
Town Team - Short Sleeves Shirts - SSH,LE 899.00,LE 359.00,60%,New,"2XL
                                



                                M",Blue,https://townteam.com//products/5637507163?_pos=48&_fid=65ca5736c&_ss=c
Town Team - Short Sleeves Shirts - SSH,"LE 1,099.00",LE 399.00,64%,New,"2XL
                                



                                3XL
                                



                                4XL
                                



                                L
                                



                            + 3
                            



                        + -3",Blue,https://townteam.com//products/5637507163?_pos=48&_fid=65ca5736c&_ss=c
Town Team - Shirt_Short Sleeve - SSH,LE 899.00,LE 359.00,60%,New,"2XL
                                



                                3XL
                                



                                4XL
                                



                                L
                                



                            + 2
                            



                        + -3",Orange,https://townteam.com//products/5637508220?_pos=49&_fid=65ca5736c&_ss=c
Town Team - Short Sleeves Shirts - SSH,"LE 1,099.00",LE 459.00,58%,New,"2XL
                                



                                L
                                



                                M",White*Black,https://townteam.com//products/5637508220?_pos=49&_fid=65ca5736c&_ss=c
